,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Lompoc,40,US,1539315300,77,34.64,-120.46,62.96,4.7
1,Hit,64,IQ,1539317887,39,33.64,42.83,74.03,11.65
2,Vestmanna,36,FO,1539316200,93,62.16,-7.17,48.2,9.17
3,Katsuura,75,JP,1539316800,48,33.93,134.5,64.4,3.36
4,Hermanus,44,ZA,1539317887,90,-34.42,19.24,51.98,6.29
5,Bow Island,1,CA,1539316800,74,49.87,-111.38,35.6,9.17
6,Kaitangata,92,NZ,1539317888,68,-46.28,169.85,43.38,21.83
7,Ambilobe,0,MG,1539317889,67,-13.19,49.05,73.53,15.12
8,Ouagadougou,0,BF,1539313200,78,12.37,-1.53,78.8,6.93
9,Shahr-e Babak,0,IR,1539317889,56,30.12,55.12,46.85,3.71
10,Upernavik,0,GL,1539317889,100,72.79,-56.15,25.11,11.99
11,Khatanga,0,RU,1539317889,84,71.98,102.47,24.35,14.56
12,Ferrol,90,ES,1539316800,72,43.48,-8.23,64.4,14.99
13,Sao Jose do Belmonte,76,BR,1539317890,42,-7.86,-38.76,82.35,12.21
14,Sur,0,OM,1539317890,100,22.57,59.53,77.9,8.41
15,Douglas,90,US,1539316560,69,31.34,-109.55,62.06,13.87
16,Vaini,0,IN,1539317891,58,15.34,74.49,79.88,2.71
17,New Norfolk,40,AU,1539316800,48,-42.78,147.06,62.6,5.82
18,Qaanaaq,64,GL,1539317891,100,77.48,-69.36,22.5,10.42
19,Kapaa,75,US,1539316560,78,22.08,-159.32,80.96,10.29
20,Otake,75,JP,1539316800,45,34.2,132.22,69.08,9.17
21,Hobart,40,AU,1539316800,48,-42.88,147.33,62.6,5.82
22,Rikitea,92,PF,1539317892,100,-23.12,-134.97,70.92,13.22
23,Jamestown,0,AU,1539317892,44,-33.21,138.6,72.45,5.5
24,Bluff,92,AU,1539317892,59,-23.58,149.07,79.11,10.42
25,Ilulissat,0,GL,1539316200,56,69.22,-51.1,12.2,2.93
26,Yellowknife,90,CA,1539317040,86,62.45,-114.38,30.2,11.41
27,Esperance,20,TT,1539313200,88,10.24,-61.45,78.8,5.61
28,Ushuaia,75,AR,1539313200,52,-54.81,-68.31,46.4,5.82
29,Marsh Harbour,56,BS,1539317893,100,26.54,-77.06,82.58,12.44
30,Urozhaynoye,64,RU,1539317893,92,47.7,142.03,50.13,8.19
31,Albany,90,US,1539316440,72,42.65,-73.75,64.04,12.75
32,Busselton,92,AU,1539317868,100,-33.64,115.35,62.73,12.44
33,Castro,20,CL,1539317894,100,-42.48,-73.76,35.55,2.93
34,Georgetown,0,GY,1539313200,100,6.8,-58.16,75.2,2.24
35,Sistranda,0,NO,1539316200,66,63.73,8.83,55.4,17.22
36,Mount Gambier,0,AU,1539317895,66,-37.83,140.78,68.81,6.73
37,Bandar-e Lengeh,0,IR,1539313200,78,26.56,54.88,78.8,5.73
38,Camacha,20,PT,1539316800,94,33.08,-16.33,69.8,2.24
39,Itarema,0,BR,1539317895,87,-2.92,-39.92,75.96,13.78
40,Sao Joao da Barra,76,BR,1539317895,100,-21.64,-41.05,74.7,2.71
41,Pasighat,92,IN,1539317896,79,28.06,95.33,68.13,0.69
42,Tasiilaq,92,GL,1539316200,100,65.61,-37.64,35.6,8.05
43,Tokur,68,RU,1539317896,48,53.13,132.9,41.4,3.15
44,Kotka,90,FI,1539316200,93,60.47,26.95,50.0,8.05
45,Butaritari,44,KI,1539317896,100,3.07,172.79,83.43,7.74
46,Husavik,44,CA,1539317896,98,50.56,-96.99,28.13,7.74
47,Bredasdorp,92,ZA,1539313200,67,-34.53,20.04,57.2,8.05
48,Ribeira Grande,92,PT,1539317897,100,38.52,-28.7,69.3,31.9
49,Coihaique,0,CL,1539313200,65,-45.58,-72.07,41.0,1.12
50,Geraldton,90,CA,1539316800,100,49.72,-86.95,28.4,8.63
51,Isla Vista,1,US,1539316560,74,34.41,-119.86,62.96,2.71
52,Evans,75,US,1539316560,85,40.38,-104.69,39.56,4.05
53,Auki,64,NG,1539317898,80,12.18,6.51,72.27,3.27
54,Okhotsk,0,RU,1539317898,92,59.36,143.24,38.66,5.17
55,Ust-Nera,32,RU,1539317899,88,64.57,143.24,14.63,2.59
56,Bilibino,12,RU,1539317899,77,68.06,166.44,22.14,3.04
57,Cape Town,40,ZA,1539313200,71,-33.93,18.42,57.2,17.22
